PassengerId,Survived,Pclass,Name,NameLength,Sex,SibSpouce,ParentsChild,TicketNumber,Fare,Cabin,Age_wiki,Age_Months,HometownCountry,Boarded,Destination,DestinationCountry,Lifeboat,LifeboatSupport
1,0,3,"Braund, Mr. Owen Harris",23,male,1,0,A/5 21171,7.25,,22,264,England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",Canada,,No
2,1,1,"Cumings, Mrs. John Bradley ",27,female,1,0,PC 17599,71.2833,C85,35,420,US,Cherbourg,"New York, New York, US",US,4,Yes
3,1,3,"Heikkinen, Miss. Laina",22,female,0,0,STON/O2. 3101282,7.925,,26,312,Finland,Southampton,New York City,US,14,Yes
4,1,1,"Futrelle, Mrs. Jacques Heath ",29,female,1,0,113803,53.1,C123,35,420,US,Southampton,"Scituate, Massachusetts, US",US,D,Yes
5,0,3,"Allen, Mr. William Henry",24,male,0,0,373450,8.05,,35,420,England,Southampton,New York City,US,,No
6,0,3,"Moran, Mr. James",16,male,0,0,330877,8.4583,,22,264,Ireland,Queenstown,New York City,US,,No
7,0,1,"McCarthy, Mr. Timothy J",23,male,0,0,17463,51.8625,E46,54,648,US,Southampton,"Dorchester, Massachusetts, US",US,,No
8,0,3,"Palsson, Master. Gosta Leonard",30,male,3,1,349909,21.075,,2,24,Sweden,Southampton,"Chicago, Illinois, US",US,,No
9,1,3,"Johnson, Mrs. Oscar W ",22,female,0,2,347742,11.1333,,26,312,US,Southampton,"St. Charles, Illinois, US",US,15,Yes
10,1,2,"Nasser, Mrs. Nicholas ",22,female,1,0,237736,30.0708,,14,168,Lebanon,Cherbourg,"Cleveland, Ohio, US",US,,No
11,1,3,"Sandstrom, Miss. Marguerite Rut",31,female,1,1,PP 9549,16.7,G6,4,48,Sweden,Southampton,"San Francisco, US",US,13,Yes
12,1,1,"Bonnell, Miss. Elizabeth",24,female,0,0,113783,26.55,C103,61,732,US,Southampton,"Youngstown, Ohio, US",US,8,Yes
13,0,3,"Saundercock, Mr. William Henry",30,male,0,0,A/5. 2151,8.05,,19,228,England,Southampton,New York City,US,,No
14,0,3,"Andersson, Mr. Anders Johan",27,male,1,5,347082,31.275,,39,468,Sweden,Southampton,"Winnipeg, Manitoba, Canada",Canada,,No
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",36,female,0,0,350406,7.8542,,14,168,Sweden,Southampton,"Los Angeles, US",US,,No
16,1,2,"Hewlett, Mrs. ",14,female,0,0,248706,16,,56,672,British India,Southampton,"Rapid City, South Dakota, US",US,13,Yes
17,0,3,"Rice, Master. Eugene",20,male,4,1,382652,29.125,,2,24,Ireland,Queenstown,"Spokane, Washington, US",US,,No
18,1,2,"Williams, Mr. Charles Eugene",28,male,0,0,244373,13,,23,276,England,Southampton,"Chicago, Illinois, US",US,14,Yes
19,0,3,"Vander Planke, Mrs. Julius ",27,female,1,0,345763,18,,31,372,Belgium,Southampton,"Fremont, Ohio, US",US,,No
20,1,3,"Masselmani, Mrs. Fatima",23,female,0,0,2649,7.225,,22,264,Lebanon,Cherbourg,"Michigan City, Indiana, US",US,C,Yes
21,0,2,"Fynney, Mr. Joseph J",20,male,0,0,239865,26,,35,420,England,Southampton,"Montreal, Quebec, Canada",Canada,,No
22,1,2,"Beesley, Mr. Lawrence",21,male,0,0,248698,13,D56,34,408,England,Southampton,"Toronto, Ontario, Canada",Canada,13,Yes
23,1,3,"McGowan, Miss. Anna ""Annie""",27,female,0,0,330923,8.0292,,16,192,Ireland,Queenstown,"Chicago, Illinois, US",US,13,Yes
24,1,1,"Sloper, Mr. William Thompson",28,male,0,0,113788,35.5,A6,28,336,US,Southampton,"New Britain, Connecticut, US",US,7,Yes
25,0,3,"Palsson, Miss. Torborg Danira",29,female,3,1,349909,21.075,,8,96,Sweden,Southampton,"Chicago, Illinois, US",US,,No
26,1,3,"Asplund, Mrs. Carl Oscar ",25,female,1,5,347077,31.3875,,38,456,Sweden,Southampton,"Worcester, Massachusetts, US",US,15,Yes
27,0,3,"Emir, Mr. Farred Chehab",23,male,0,0,2631,7.225,,25,300,Lebanon,Cherbourg,New York City,US,,No
28,0,1,"Fortune, Mr. Charles Alexander",30,male,3,2,19950,263,C23 C25 C27,19,228,Canada,Southampton,"Winnipeg, Manitoba, Canada",Canada,,No
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",29,female,0,0,330959,7.8792,,25,300,Ireland,Queenstown,New York City,US,,No
30,0,3,"Todoroff, Mr. Lalio",19,male,0,0,349216,7.8958,,23,276,Bulgaria,Southampton,"Chicago, Illinois, US",US,,No
31,0,1,"Uruchurtu, Don. Manuel E",24,male,0,0,PC 17601,27.7208,,40,480,Mexico,Cherbourg,"Mexico City, Mexico",Mexico,,No
32,1,1,"Spencer, Mrs. William Augustus ",31,female,1,0,PC 17569,146.5208,B78,45,540,US,Cherbourg,"New York, New York, US",US,6,Yes
33,1,3,"Glynn, Miss. Mary Agatha",24,female,0,0,335677,7.75,,19,228,Ireland,Queenstown,"Washington, DC, US",US,13,Yes
34,0,2,"Wheadon, Mr. Edward H",21,male,0,0,C.A. 24579,10.5,,66,792,Channel Islands,Southampton,"Edgewood, Rhode Island, US",US,,No
35,0,1,"Meyer, Mr. Edgar Joseph",23,male,1,0,PC 17604,82.1708,,28,336,US,Cherbourg,"New York, New York, US",US,,No
36,0,1,"Holverson, Mr. Alexander Oskar",30,male,1,0,113789,52,,42,504,US,Southampton,"New York, New York, US",US,,No
37,1,3,"Mamee, Mr. Hanna",16,male,0,0,2677,7.2292,,20,240,Lebanon,Cherbourg,"Philadelphia, Pennsylvania, US",US,15,Yes
38,0,3,"Cann, Mr. Ernest Charles",24,male,0,0,A./5. 2152,8.05,,21,252,England,Southampton,New York City,US,,No
39,0,3,"Vander Planke, Miss. Augusta Maria",34,female,2,0,345764,18,,18,216,Belgium,Southampton,"Fremont, Ohio, US",US,,No
40,1,3,"Nicola-Yarred, Miss. Jamila",27,female,1,0,2651,11.2417,,14,168,Lebanon,Cherbourg,"Jacksonville, Florida, US",US,C,Yes
41,0,3,"Ahlin, Mrs. Johan ",18,female,1,0,7546,9.475,,40,480,Sweden,Southampton,"Akeley, Minnesota, US",US,,No
42,0,2,"Turpin, Mrs. William John Robert ",33,female,1,0,11668,21,,27,324,England,Southampton,"Salt Lake City, Utah, US",US,,No
43,0,3,"Kraeff, Mr. Theodor",19,male,0,0,349253,7.8958,,,0,Bulgaria,Cherbourg,"Madison, Wisconsin, US",US,,No
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",40,female,1,2,SC/Paris 2123,41.5792,,3,36,France,Cherbourg,"Cap-Ha??tien, Haiti",Haiti,14,Yes
45,1,3,"Devaney, Miss. Margaret Delia",29,female,0,0,330958,7.8792,,19,228,Ireland,Queenstown,New York City,US,C,Yes
46,0,3,"Rogers, Mr. William John",24,male,0,0,S.C./A.4. 23567,8.05,,29,348,Australia,Southampton,New York City,US,,No
47,0,3,"Lennon, Mr. Denis",17,male,1,0,370371,15.5,,20,240,Ireland,Queenstown,New York City,US,,No
48,1,3,"O'Driscoll, Miss. Bridget",25,female,0,0,14311,7.75,,24,288,Ireland,Queenstown,"Jersey City, New Jersey, US",US,D,Yes
49,0,3,"Samaan, Mr. Youssef",19,male,2,0,2662,21.6792,,16,192,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",US,,No
50,0,3,"Arnold-Franchi, Mrs. Josef ",27,female,1,0,349237,17.8,,18,216,Switzerland,Southampton,"New Glarus, Wisconsin, US",US,,No
51,0,3,"Panula, Master. Juha Niilo",26,male,4,1,3101295,39.6875,,7,84,Finland,Southampton,"Coal Center, Pennsylvania, US",US,,No
52,0,3,"Nosworthy, Mr. Richard Cater",28,male,0,0,A/4. 39886,7.8,,21,252,England,Southampton,"Buffalo, New York, US",US,,No
53,1,1,"Harper, Mrs. Henry Sleeper ",27,female,1,0,PC 17572,76.7292,D33,49,588,US,Cherbourg,"New York, New York, US",US,3,Yes
54,1,2,"Faunthorpe, Mrs. Lizzie ",24,female,1,0,2926,26,,29,348,England,Southampton,"Philadelphia, Pennsylvania, US",US,16,Yes
55,0,1,"Ostby, Mr. Engelhart Cornelius",30,male,0,1,113509,61.9792,B30,64,768,US,Southampton,"Providence, Rhode Island, US",US,,No
56,1,1,"Woolner, Mr. Hugh",17,male,0,0,19947,35.5,C52,45,540,England,Southampton,"New York, New York, US",US,D,Yes
57,1,2,"Rugg, Miss. Emily",17,female,0,0,C.A. 31026,10.5,,21,252,Channel Islands,Southampton,"Wilmington, Delaware, US",US,12,Yes
58,0,3,"Novel, Mr. Mansouer",19,male,0,0,2697,7.2292,,20,240,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",Canada,,No
59,1,2,"West, Miss. Constance Mirium",28,female,1,2,C.A. 34651,27.75,,4,48,England,Southampton,"Gainesville, Florida, US",US,10,Yes
60,0,3,"Goodwin, Master. William Frederick",34,male,5,2,CA 2144,46.9,,13,156,England,Southampton,"Niagara Falls, New York, US",US,,No
61,0,3,"Sirayanian, Mr. Orsen",21,male,0,0,2669,7.2292,,22,264,Turkey,Cherbourg,"Brantford, Ontario, Canada",Canada,,No
62,1,1,"Icard, Miss. Amelie",19,female,0,0,113572,80,B28,38,456,US,Southampton,"New York, New York, US",US,6,Yes
63,0,1,"Harris, Mr. Henry Birkhardt",27,male,1,0,36973,83.475,C83,45,540,US,Southampton,"New York, New York, US",US,,No
64,0,3,"Skoog, Master. Harald",21,male,3,2,347088,27.9,,5,60,Sweden,Southampton,"Iron Mountain, Michigan, US",US,,No
65,0,1,"Stewart, Mr. Albert A",21,male,0,0,PC 17605,27.7208,,54,648,US,Cherbourg,"Gallipolis, Ohio, US",US,,No
66,1,3,"Moubarek, Master. Gerios",24,male,1,1,2661,15.2458,,7,84,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",US,C,Yes
67,1,2,"Nye, Mrs. ",10,female,0,0,C.A. 29395,10.5,F33,29,348,US,Southampton,"East Orange, New Jersey, US",US,11,Yes
68,0,3,"Crease, Mr. Ernest James",24,male,0,0,S.P. 3464,8.1583,,19,228,England,Southampton,"Cleveland, Ohio, US",US,,No
69,1,3,"Andersson, Miss. Erna Alexandra",31,female,4,2,3101281,7.925,,17,204,Finland,Southampton,New York City,US,D,Yes
70,0,3,"Kink, Mr. Vincenz",17,male,2,0,315151,8.6625,,26,312,Switzerland,Southampton,"Milwaukee, Wisconsin, US",US,,No
71,0,2,"Jenkin, Mr. Stephen Curnow",26,male,0,0,C.A. 33111,10.5,,32,384,England,Southampton,"Houghton, Michigan, US",US,,No
72,0,3,"Goodwin, Miss. Lillian Amy",26,female,5,2,CA 2144,46.9,,16,192,England,Southampton,"Niagara Falls, New York, US",US,,No
73,0,2,"Hood, Mr. Ambrose Jr",20,male,0,0,S.O.C. 14879,73.5,,21,252,England,Southampton,"Manitoba, Canada",Canada,,No
74,0,3,"Chronopoulos, Mr. Apostolos",27,male,1,0,2680,14.4542,,26,312,Greece,Cherbourg,New York City,US,,No
75,1,3,"Bing, Mr. Lee",13,male,0,0,1601,56.4958,,32,384,China,Southampton,New York City,US,C,Yes
76,0,3,"Moen, Mr. Sigurd Hansen",23,male,0,0,348123,7.65,F G73,25,300,Norway,Southampton,"Minneapolis, Minnesota, US",US,,No
77,0,3,"Staneff, Mr. Ivan",17,male,0,0,349208,7.8958,,23,276,Bulgaria,Southampton,"Chicago, Illinois, US",US,,No
78,0,3,"Moutal, Mr. Rahamin Haim",24,male,0,0,374746,8.05,,28,336,England,Southampton,New York City,US,,No
79,1,2,"Caldwell, Master. Alden Gates",29,male,0,2,248738,29,,0.83,10,Bangkok,Southampton,"Roseville, Illinois, US",US,13,Yes
80,1,3,"Dowdell, Miss. Elizabeth",24,female,0,0,364516,12.475,,31,372,US,Southampton,New York City,US,13,Yes
81,0,3,"Waelens, Mr. Achille",20,male,0,0,345767,9,,22,264,Belgium,Southampton,"Stanton, Ohio, US",US,,No
82,1,3,"Sheerlinck, Mr. Jan Baptist",27,male,0,0,345779,9.5,,29,348,Belgium,Southampton,"Detroit, Michigan, US",US,11,Yes
83,1,3,"McDermott, Miss. Brigdet Delia",30,female,0,0,330932,7.7875,,31,372,Ireland,Queenstown,"Chicago, Illinois, US",US,13,Yes
84,0,1,"Carrau, Mr. Francisco M",23,male,0,0,113059,47.1,,31,372,Uruguay,Southampton,"Montevideo, Uruguay",Uruguay,,No
85,1,2,"Ilett, Miss. Bertha",19,female,0,0,SO/C 14885,10.5,,17,204,Channel Islands,Southampton,"Atlanta, Georgia, US",US,,No
86,1,3,"Backstrom, Mrs. Karl Alfred ",28,female,3,0,3101278,15.85,,33,396,Finland,Southampton,New York City,US,D,Yes
87,0,3,"Ford, Mr. William Neal",22,male,1,3,W./C. 6608,34.375,,16,192,England,Southampton,"Essex County, New Jersey, US",US,,No
88,0,3,"Slocovski, Mr. Selman Francis",29,male,0,0,SOTON/OQ 392086,8.05,,20,240,England,Southampton,New York City,US,,No
89,1,1,"Fortune, Miss. Mabel Helen",26,female,3,2,19950,263,C23 C25 C27,23,276,Canada,Southampton,"Winnipeg, Manitoba, Canada",Canada,10,Yes
90,0,3,"Celotti, Mr. Francesco",22,male,0,0,343275,8.05,,24,288,Italy,Southampton,New York City,US,,No
91,0,3,"Christmann, Mr. Emil",20,male,0,0,343276,8.05,,29,348,England,Southampton,New York City,US,,No
92,0,3,"Andreasson, Mr. Paul Edvin",26,male,0,0,347466,7.8542,,20,240,Sweden,Southampton,"Chicago, Illinois, US",US,,No
93,0,1,"Chaffee, Mr. Herbert Fuller",27,male,1,0,W.E.P. 5734,61.175,E31,46,552,US,Southampton,"Amenia, North Dakota, US",US,,No
94,0,3,"Dean, Mr. Bertram Frank",23,male,1,2,C.A. 2315,20.575,,25,300,England,Southampton,"Wichita, Kansas, US",US,,No
95,0,3,"Coxon, Mr. Daniel",17,male,0,0,364500,7.25,,59,708,England,Southampton,"Merrill, Wisconsin, US",US,,No
96,0,3,"Shorney, Mr. Charles Joseph",27,male,0,0,374910,8.05,,22,264,England,Southampton,"New York, US",US,,No
97,0,1,"Goldschmidt, Mr. George B",25,male,0,0,PC 17754,34.6542,A5,71,852,US,Cherbourg,"New York, New York, US",US,,No
98,1,1,"Greenfield, Mr. William Bertram",31,male,0,1,PC 17759,63.3583,D10 D12,23,276,US,Cherbourg,"New York, New York, US",US,7,Yes
99,1,2,"Doling, Mrs. John T ",20,female,0,1,231919,23,,34,408,England,Southampton,New York City,US,,No
100,0,2,"Kantor, Mr. Sinai",17,male,1,0,244367,26,,34,408,Russia,Southampton,"Bronx, New York, US",US,,No
101,0,3,"Petranec, Miss. Matilda",23,female,0,0,349245,7.8958,,28,336,Croatia,Southampton,"Harrisburg, Pennsylvania, US",US,,No
102,0,3,"Petroff, Mr. Pastcho ",21,male,0,0,349215,7.8958,,29,348,Bulgaria,Southampton,"Chicago, Illinois, US",US,,No
103,0,1,"White, Mr. Richard Frasar",25,male,0,1,35281,77.2875,D26,21,252,US,Southampton,"Brunswick, Maine, US",US,,No
104,0,3,"Johansson, Mr. Gustaf Joel",26,male,0,0,7540,8.6542,,33,396,Sweden,Southampton,"Cheyenne, North Dakota, US",US,,No
