"","PassengerId","Survived","Pclass","Name","NameLength","Sex","SibSpouse","ParentsChild","TicketNumber","Fare","Cabin","Age_wiki","Age_Months","HometownCountry","Boarded","Destination","DestinationCountry","Lifeboat","LifeboatSupport"
"1",1,0,3,"Braund, Mr. Owen Harris",23,"male",1,0,"A/5 21171",7,"",22,264,"England","Southampton","Qu'Appelle Valley, Saskatchewan, Canada","Canada","","No"
"2",2,1,1,"Cumings, Mrs. John Bradley ",27,"female",1,0,"PC 17599",71,"C85",35,420,"US","Cherbourg","New York, New York, US","US","4","Yes"
"3",3,1,3,"Heikkinen, Miss. Laina",22,"female",0,0,"STON/O2. 3101282",7,"",26,312,"Finland","Southampton","New York City","US","14","Yes"
"4",4,1,1,"Futrelle, Mrs. Jacques Heath ",29,"female",1,0,"113803",53,"C123",35,420,"US","Southampton","Scituate, Massachusetts, US","US","D","Yes"
"5",5,0,3,"Allen, Mr. William Henry",24,"male",0,0,"373450",8,"",35,420,"England","Southampton","New York City","US","","No"
"6",6,0,3,"Moran, Mr. James",16,"male",0,0,"330877",8,"",22,264,"Ireland","Queenstown","New York City","US","","No"
"7",7,0,1,"McCarthy, Mr. Timothy J",23,"male",0,0,"17463",51,"E46",54,648,"US","Southampton","Dorchester, Massachusetts, US","US","","No"
"8",8,0,3,"Palsson, Master. Gosta Leonard",30,"male",3,1,"349909",21,"",2,24,"Sweden","Southampton","Chicago, Illinois, US","US","","No"
"9",9,1,3,"Johnson, Mrs. Oscar W ",22,"female",0,2,"347742",11,"",26,312,"US","Southampton","St. Charles, Illinois, US","US","15","Yes"
"10",10,1,2,"Nasser, Mrs. Nicholas ",22,"female",1,0,"237736",30,"",14,168,"Lebanon","Cherbourg","Cleveland, Ohio, US","US","","No"
"11",11,1,3,"Sandstrom, Miss. Marguerite Rut",31,"female",1,1,"PP 9549",16,"G6",4,48,"Sweden","Southampton","San Francisco, US","US","13","Yes"
"12",12,1,1,"Bonnell, Miss. Elizabeth",24,"female",0,0,"113783",26,"C103",61,732,"US","Southampton","Youngstown, Ohio, US","US","8","Yes"
"13",13,0,3,"Saundercock, Mr. William Henry",30,"male",0,0,"A/5. 2151",8,"",19,228,"England","Southampton","New York City","US","","No"
"14",14,0,3,"Andersson, Mr. Anders Johan",27,"male",1,5,"347082",31,"",39,468,"Sweden","Southampton","Winnipeg, Manitoba, Canada","Canada","","No"
"15",15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",36,"female",0,0,"350406",7,"",14,168,"Sweden","Southampton","Los Angeles, US","US","","No"
"16",16,1,2,"Hewlett, Mrs. ",14,"female",0,0,"248706",16,"",56,672,"British India","Southampton","Rapid City, South Dakota, US","US","13","Yes"
"17",17,0,3,"Rice, Master. Eugene",20,"male",4,1,"382652",29,"",2,24,"Ireland","Queenstown","Spokane, Washington, US","US","","No"
"18",18,1,2,"Williams, Mr. Charles Eugene",28,"male",0,0,"244373",13,"",23,276,"England","Southampton","Chicago, Illinois, US","US","14","Yes"
"19",19,0,3,"Vander Planke, Mrs. Julius ",27,"female",1,0,"345763",18,"",31,372,"Belgium","Southampton","Fremont, Ohio, US","US","","No"
"20",20,1,3,"Masselmani, Mrs. Fatima",23,"female",0,0,"2649",7,"",22,264,"Lebanon","Cherbourg","Michigan City, Indiana, US","US","C","Yes"
"21",21,0,2,"Fynney, Mr. Joseph J",20,"male",0,0,"239865",26,"",35,420,"England","Southampton","Montreal, Quebec, Canada","Canada","","No"
"22",22,1,2,"Beesley, Mr. Lawrence",21,"male",0,0,"248698",13,"D56",34,408,"England","Southampton","Toronto, Ontario, Canada","Canada","13","Yes"
"23",23,1,3,"McGowan, Miss. Anna ""Annie""",27,"female",0,0,"330923",8,"",16,192,"Ireland","Queenstown","Chicago, Illinois, US","US","13","Yes"
"24",24,1,1,"Sloper, Mr. William Thompson",28,"male",0,0,"113788",35,"A6",28,336,"US","Southampton","New Britain, Connecticut, US","US","7","Yes"
"25",25,0,3,"Palsson, Miss. Torborg Danira",29,"female",3,1,"349909",21,"",8,96,"Sweden","Southampton","Chicago, Illinois, US","US","","No"
"26",26,1,3,"Asplund, Mrs. Carl Oscar ",25,"female",1,5,"347077",31,"",38,456,"Sweden","Southampton","Worcester, Massachusetts, US","US","15","Yes"
"27",27,0,3,"Emir, Mr. Farred Chehab",23,"male",0,0,"2631",7,"",25,300,"Lebanon","Cherbourg","New York City","US","","No"
"28",28,0,1,"Fortune, Mr. Charles Alexander",30,"male",3,2,"19950",263,"C23 C25 C27",19,228,"Canada","Southampton","Winnipeg, Manitoba, Canada","Canada","","No"
